scale,fns,model,loo_comp,elpd_loo,p_loo,looic,se_elpd_loo,se_p_loo,se_looic,elpd_loo_diff,se_loo_diff,elpd_waic,p_waic,waic,se_elpd_waic,se_p_waic,se_waic,r2,r2_se,r2_q2.5,r2_q97.5
continental,Arbuscularmycorrhizal_richness,slope,similar,-2363.0822041443953,9.576062021379514,4726.164408288791,37.41157521257299,1.6671276997862818,74.82315042514598,-0.8087434411509893,1.7551939258321891,-2363.0785726659287,9.57243054291199,4726.1571453318575,37.41315736304744,1.6686559824639475,74.82631472609488,0.050234041013329844,0.014653162216777945,0.02450820678130857,0.0816500421122299
continental,Decomposer_richness,intercept,NA,-3516.8122676613257,24.114304847441616,7033.624535322651,87.32756820251561,9.136016182717807,174.65513640503121,0,0,-3516.3768460739175,23.678883260029714,7032.753692147835,87.12387147510229,8.903935221757243,174.24774295020458,0.0551746216375575,0.0149554784049437,0.028862326128632522,0.08686715653272589
continental,Decomposer_richness,slope,worse,-3512.792430818314,23.48990093060263,7025.584861636628,87.3420967876147,9.67744257823829,174.6841935752294,-4.019836843009649,1.8567654626047465,-3512.4813707450803,23.178840857363614,7024.962741490161,87.15720352922604,9.451724577304756,174.31440705845208,0.056138778598079496,0.015269445368096808,0.02887627112747422,0.08869851488442948
continental,Bac_JaccDist_av,intercept,NA,1836.3523230852436,13.383737152428644,-3672.704646170487,39.886209056844294,2.5450552035516307,79.77241811368859,0,0,1836.5122814350127,13.22377880265894,-3673.0245628700254,39.868914698472175,2.510375610893203,79.73782939694435,0.25016356364107206,0.02355520834392065,0.20375126456302467,0.2955639872761183
continental,Bac_JaccDist_av,slope,similar,1842.5193359954221,10.706406895606605,-3685.0386719908443,40.71139320803061,2.3422646714468485,81.42278641606121,-6.167012910181919,5.074363263255028,1842.5509736882689,10.674769202761416,-3685.1019473765377,40.69809962756748,2.32777692958749,81.39619925513496,0.25365370519003333,0.023731280745774252,0.20680707872723214,0.2993393941328446
continental,Fungi_JaccDist_av,intercept,NA,2281.125041245169,10.237267959915496,-4562.250082490338,16.745984484822543,1.6980573235472527,33.491968969645086,0,0,2281.330716956225,10.031592248858118,-4562.66143391245,16.72853502659105,1.583753272728105,33.4570700531821,0.10917343736378216,0.019732361235419476,0.0719565834592638,0.14923238677138348
continental,Fungi_JaccDist_av,slope,similar,2285.0365054676386,7.277830987127621,-4570.073010935277,16.95971994464283,0.7373253280187836,33.91943988928566,-3.9114642224705847,2.978531808326001,2285.047297128183,7.267039326584434,-4570.094594256366,16.958764986993465,0.7336132975026171,33.91752997398693,0.10698575443826654,0.01985714494742068,0.0695338265800124,0.14737865250662033
continental,Protist_JaccDist_av,intercept,NA,2558.6919449480793,9.526849447260918,-5117.3838898961585,17.46529898747354,1.0064929550584603,34.93059797494708,0,0,2558.789559041984,9.42923535335745,-5117.579118083968,17.462218075452117,0.9754286197556871,34.924436150904235,0.07593763914090168,0.017267681373951814,0.044165282283135494,0.11168747434451781
continental,Protist_JaccDist_av,slope,similar,2561.775451436301,7.114984547965949,-5123.550902872602,17.669500334014554,0.6352853397244563,35.33900066802911,-3.083506488224529,2.5916942777931715,2561.7841530618934,7.106282922374529,-5123.568306123787,17.668964054910386,0.6333660307836461,35.33792810982077,0.07334681726977614,0.01726075080028252,0.041900456320755244,0.10927050561246289
continental,Invertebrate_JaccDist_av,intercept,NA,2711.6361554813075,8.53795911693132,-5423.272310962615,17.275642779505446,0.8545423727499389,34.55128555901089,0,0,2711.687611791469,8.486502806764223,-5423.375223582938,17.274858778177215,0.8433341067332072,34.54971755635443,0.04100615010367686,0.012924301010328675,0.01869930558720468,0.06900474270488838
continental,Invertebrate_JaccDist_av,slope,similar,2710.64624033058,6.246540198199671,-5421.29248066116,16.93575223728173,0.419756303626196,33.87150447456346,-0.9899151507240074,2.8207280638796433,2710.651641112659,6.241139416119125,-5421.303282225318,16.9355215850742,0.41927712595228134,33.8710431701484,0.027214726238254595,0.010884260295144953,0.00920216562653581,0.05154782028785056
regional,Soil_carbon_service,intercept,NA,-799.7447950096728,7.98035938065138,1599.4895900193455,19.162706596294377,1.3970097828191763,38.325413192588755,0,0,-799.4452892251051,7.680853596083129,1598.8905784502101,19.15673496686973,1.2755128000160183,38.31346993373946,0.12475631199242193,0.03287453419278711,0.06419829124114071,0.19175672489475834
regional,Soil_carbon_service,slope,similar,-804.8679151364659,7.898914068707371,1609.7358302729317,18.71901527005863,1.4251187520248774,37.43803054011726,-5.123120126792555,3.901498323214004,-804.8272095145771,7.858208446818335,1609.6544190291543,18.713851514252088,1.4093461494702477,37.427703028504176,0.08826962256738498,0.029539522484299058,0.03550063472079382,0.1503765181864733
regional,OM_decomposition_service,intercept,NA,-362.9499503882995,10.25717185580536,725.899900776599,17.176228241247333,2.2383905745519628,34.35245648249467,0,0,-362.3424992821025,9.649720749608328,724.684998564205,17.143326612031032,2.0196567746936105,34.286653224062064,0.122668169247499,0.03293514889447495,0.06160738365926668,0.18996029976951564
regional,OM_decomposition_service,slope,similar,-364.4388306714981,9.087578673604789,728.8776613429962,17.48274614603908,2.3962910622653455,34.96549229207816,-1.4888802831985188,4.038100631395417,-364.27723387823767,8.925981880344207,728.5544677564753,17.431109951701938,2.2877072478800837,34.862219903403876,0.10233921629102416,0.031951318833843216,0.04581451678500539,0.17141462579211872
regional,Soil_stability_service,intercept,NA,-380.6989571247389,5.8757804732470715,761.3979142494778,9.208810090331465,0.8073451675234509,18.41762018066293,0,0,-380.43000526455234,5.606828613061024,760.8600105291047,9.196805884067924,0.5935365488184193,18.393611768135848,0.10585365338388165,0.0311157807145706,0.04959753264001431,0.1704219149382779
regional,Soil_stability_service,slope,similar,-381.7862433962832,5.750848006975021,763.5724867925665,9.007490024085346,0.5107118752522387,18.014980048170692,-1.0872862715446345,2.646156102825522,-381.76540144549006,5.730006056181959,763.5308028909801,9.006858297135327,0.5065198571695954,18.013716594270655,0.09226103866244621,0.02992888036997496,0.03860085877241733,0.154842803099277
regional,Nutrient_service,intercept,NA,-298.2420559002614,13.593037009122312,596.4841118005228,30.774328850863295,4.152289656535978,61.54865770172659,0,0,-298.15240025438106,13.503381363242214,596.3048005087621,30.980668042894745,4.3082023789164685,61.96133608578949,0.07229117853886555,0.026382191060063946,0.02713644964187788,0.12863551015763675
regional,Nutrient_service,slope,similar,-296.79626242959824,11.937403839255303,593.5925248591965,30.202504074758235,3.6557063584803258,60.40500814951647,-1.445793470662938,1.3166091557138753,-296.775977032435,11.91711844209184,593.55195406487,30.207191286400366,3.662082217555601,60.41438257280073,0.06853315311844548,0.02621199340101176,0.023827521118477236,0.12536185165435057
regional,Pathogen_control,intercept,NA,785.85916326043,7.4140481871145445,-1571.71832652086,15.691522526803176,1.4171653170772052,31.383045053606352,0,0,786.1475132937679,7.125698153776353,-1572.2950265875359,15.68344191820565,1.2956410752985978,31.3668838364113,0.08805341515072007,0.029051653963441525,0.036694611108098685,0.14934827367300893
regional,Pathogen_control,slope,similar,785.3036990696546,6.289663941098395,-1570.6073981393092,15.499464740872698,1.0464662889666907,30.998929481745396,-0.5554641907753899,1.9422325217830811,785.3324429452787,6.260920065474137,-1570.6648858905573,15.493623278799621,1.0369330665521743,30.987246557599242,0.07161333800156157,0.026749770048157553,0.025833755170647368,0.1291143443759027
