"lc","lower","effect","upper","fns","run","Label","Label_short","Group_function","Organism"
"Shrubland",-0.700286556059207,0.588460511959185,1.8429332837631,"Bac_richness",12,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Shrubland",-1.04844336506202,0.201059109331404,1.43829659868042,"Bac_shannonDiv",12,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Shrubland",-2.76573768641693,-1.3896801285367,0.0519215358978404,"Bac_JaccDist_av",12,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Woodland",-7.24671741675363,-4.70032151667646,-2.09554606777688,"Bac_richness",12,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Woodland",-5.71990824811596,-3.61860068455389,-1.44778772936783,"Bac_shannonDiv",12,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Woodland",0.745809625541142,2.51750602650379,4.21259650586028,"Bac_JaccDist_av",12,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Grassland",0.174023193660195,1.69384748225714,3.14199619729278,"Bac_richness",13,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Grassland",-0.494698507387133,0.830994542106675,2.11060981776491,"Bac_shannonDiv",13,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Grassland",-2.48499898388503,-1.1554954556716,0.23273456838736,"Bac_JaccDist_av",13,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Shrubland",-0.055107499525633,1.38547996833974,2.7606305387454,"Bac_richness",13,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Shrubland",-0.475617765043661,0.854041129625512,2.13660333517377,"Bac_shannonDiv",13,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Shrubland",-2.57859702063408,-1.23435159797984,0.171132547469484,"Bac_JaccDist_av",13,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Woodland",-5.95442961879528,-3.78634385819773,-1.5504112415777,"Bac_richness",13,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Woodland",-4.92145259536418,-3.04117940647495,-1.08659406857489,"Bac_shannonDiv",13,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Woodland",0.460980997632814,2.09797808157162,3.65910807284494,"Bac_JaccDist_av",13,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Grassland",0.167294568759491,1.68460681355804,3.13038875958078,"Bac_richness",14,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Grassland",-0.0226981266118854,1.42827242694372,2.81278157149484,"Bac_shannonDiv",14,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Grassland",-2.18896836736689,-0.900212565027142,0.437617123689057,"Bac_JaccDist_av",14,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Shrubland",0.107689820642224,1.60323497381152,3.02863489847368,"Bac_richness",14,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Shrubland",-0.120516533182546,1.29985545376823,2.65708198411476,"Bac_shannonDiv",14,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Shrubland",-3.92151177399405,-2.29827982547771,-0.598458063075882,"Bac_JaccDist_av",14,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Woodland",-6.6043468101692,-4.24793714229849,-1.82837696031684,"Bac_richness",14,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Woodland",-4.90049390179022,-3.02586736145809,-1.07682604105243,"Bac_shannonDiv",14,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Woodland",0.69892350744073,2.44725941559573,4.11891110809098,"Bac_JaccDist_av",14,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Grassland",-0.584955392076806,0.723217255796536,1.99032606746857,"Bac_richness",15,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Grassland",-1.18982624887967,0.0515965710067402,1.28985689236172,"Bac_shannonDiv",15,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Grassland",-0.144133993426284,1.26919100174463,2.62025823032438,"Bac_JaccDist_av",15,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Shrubland",-0.746831732854832,0.534993679543685,1.78538985463404,"Bac_richness",15,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Shrubland",-0.751006369687234,0.530222930828565,1.78028486546684,"Bac_shannonDiv",15,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Shrubland",-1.26821544545113,-0.0294474237324844,1.21112797641146,"Bac_JaccDist_av",15,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Woodland",-5.03255940573656,-3.12220290577838,-1.13810422568528,"Bac_richness",15,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Woodland",-4.2378331753879,-2.53638129130205,-0.758356042255592,"Bac_shannonDiv",15,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Woodland",0.0676123286086322,1.54901310303006,2.96130202105996,"Bac_JaccDist_av",15,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Grassland",-0.370772673051633,0.982332186729612,2.28298984454171,"Bac_richness",16,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Grassland",-0.070245338465683,1.36556270873846,2.73644754825238,"Bac_shannonDiv",16,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Grassland",-1.50834341536056,-0.270133445665159,0.98445102930231,"Bac_JaccDist_av",16,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Shrubland",-0.0789249452604049,1.35417232676942,2.72264595953701,"Bac_richness",16,"Bacterial Richness","Bacterial R","Richness","Bacteria"
