LC,PA_rank_rev.trend,lower.HPD,upper.HPD,fns,scale,Group_function,scale_icon,significance
Woodland,-2.057225252657645,-17.754040138797336,13.20079148480272,Decomposer_richness,continental,Richness,<img src='figures/icon_location-black.png' width='70'>,ns
Cropland,-2.1057055415717514,-23.97265443424249,19.680404308939615,Invertebrate_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Woodland,2.118506726317719,-46.08513955186936,55.83599958989362,Fungi_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Cropland,-2.518908912500138,-38.63290791601503,21.584510470353052,Invertebrate_richness,continental,Richness,<img src='figures/icon_location-black.png' width='70'>,ns
Woodland,-2.5636264849740655,-33.32322686418411,26.186475274245826,Soil_carbon_service,continental,Function,<img src='figures/icon_location-black.png' width='70'>,ns
Cropland,-2.8492229908588342,-517.6910073133186,495.4256753537338,Bac_richness,continental,Richness,<img src='figures/icon_location-black.png' width='70'>,ns
Dryland,4.253228566638427,-24.583485387614928,32.44557831576094,Bac_richness,global,Richness,<img src='figures/icon_earth-globe-with-continents-maps.png' width='70'>,ns
Grassland,-4.406344611939858,-179.9121963903326,171.03744785706294,Protist_richness,continental,Richness,<img src='figures/icon_location-black.png' width='70'>,ns
Woodland,4.433063408247108,-169.90133424990563,161.45712733372784,Protist_richness,continental,Richness,<img src='figures/icon_location-black.png' width='70'>,ns
Cropland,-6.8361222943131,-153.7818066812688,319.67890261273715,Protist_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Woodland,-9.540520871421904,-167.01159078293426,120.6017536646832,Protist_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Grassland,-15.052390099488548,-521.507214859419,537.54345442855265,Bac_richness,continental,Richness,<img src='figures/icon_location-black.png' width='70'>,ns
Woodland,45.690930721815675,-408.8839308702445,590.9430518327863,Bac_richness,continental,Richness,<img src='figures/icon_location-black.png' width='70'>,ns
Woodland,46.33500224351883,-475.44465742853936,1094.795910911751,Bac_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Cropland,-105.15773570828604,-902.2495552473702,1007.3728908876656,Bac_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
