SampleID,LC,Latitude,Longitude,Elevation,AnnualPrec,AnnualTemp,Soil_pH,Soil_salinity,Soil_texture,Soil_carbon_service,OM_decomposition_service,Soil_stability_service,Nutrient_service,Pathogen_control,Bac_richness,Fungi_richness,Invertebrate_richness,Protist_richness,Nematode_richness,Bac_shannonDiv,Fungi_shannonDiv,Invertebrate_shannonDiv,Protist_shannonDiv,Ectomycorrhizal_richness,Arbuscularmycorrhizal_richness,Decomposer_richness,Bac_JaccDist_av,Fungi_JaccDist_av,Protist_JaccDist_av,Invertebrate_JaccDist_av,PA,PA_type,PA_rank
153,Grassland,available on request,available on request,695,918.2,1.2850000000000024,5.1,30.73,33.45,2.73,-0.6858857153733441,-1.222096491099491,-0.4430818582455087,0.9698795180722892,3701,166,28,247,16,7.5327543741639,3.86131062610353,2.88703883494232,1.8865088272584,2,2,19,0.7491918206187282,0.7763164511830675,0.8697161210142145,0.9275169932743348,0,NA,NA
154,Woodland,available on request,available on request,713,683.5,1.2850000000000024,4.73,82.1,33.48,4.13,0.34350784080890445,0.9888544665236516,-0.15898091059626446,0.9633507853403142,3256,191,56,233,34,7.29477045602156,3.68623487310423,2.91236128429971,3.08850738352927,9,1,9,0.7391174353556562,0.778870905131259,0.8787452241231839,0.8633394027859043,1,V,6
155,Other,available on request,available on request,713,904.7,1.2750000000000057,6.13,135.53,10.57,2.1,0.8993829227836414,-0.25316874486532215,0.5511172624238414,0.9518072289156626,3116,166,19,203,13,7.13482560501965,3.22937973722166,2.67475648517764,4.27678975522269,1,1,12,0.8018844677897763,0.8183313081784983,0.9021019965336176,0.927170709299256,0,NA,NA
157,Cropland,available on request,available on request,780,700.6,1.2450000000000043,5.14,75.37,17.98,1.52,-0.8863337576061698,-2.4474908073841752,0.04483421994835702,0.9763313609467456,2373,169,13,245,10,6.98835112234694,3.77424335783362,1.56574855064093,5.1450833692385,1,1,14,0.8225038231172307,0.7985881598843829,0.8781257072043105,0.9605032965243304,1,V,6
158,Woodland,available on request,available on request,15,1265.7,1.5650000000000035,4.5,217,17.65,7.27,0.6544904903560615,1.342382157717199,-0.10050655648103468,0.9940476190476192,2517,168,33,131,17,6.65593594028039,3.67596349029247,3.03053427897155,1.46936109579002,9,0,14,0.7679974919825309,0.7947679140429084,0.909747249646088,0.8979353811379969,0,NA,NA
160,Cropland,available on request,available on request,70,1462.7,1.5350000000000024,5.84,113.2,24.23,4.86,-0.12604009709878772,1.3966271473712355,1.362600185091445,0.9761904761904762,3794,168,12,391,11,7.61396182721906,3.83717944390341,1.99473942110897,3.89278067959088,1,2,9,0.7877674311524647,0.8201199317109115,0.8912443588263045,0.9477734372643908,0,NA,NA
161,Other,available on request,available on request,933,951.7,1.1250000000000058,5.63,86.37,35.43,3.41,-0.04829443471199853,-0.31656056208516,0.7404932864821858,0.9626168224299064,3530,214,41,435,22,7.45895682552705,3.69406981140052,3.03653268221374,5.51003438387887,2,4,15,0.7696249899174383,0.777098621174683,0.859553089296181,0.8813264356895435,0,NA,NA
162,Woodland,available on request,available on request,712,852.4000000000001,1.2450000000000043,4.65,109.7,33.23,5.48,0.501304638272701,-0.47887778227637035,-0.0684013466711375,0.9763779527559056,2651,127,41,114,27,6.88781527586482,3.24953428759436,3.27210076532352,3.07256081638027,4,0,6,0.7610039101758578,0.8186115250329441,0.908757449988003,0.8506459468890132,0,NA,NA
163,Grassland,available on request,available on request,801,1334.5,1.1650000000000034,4.32,50.77,33.47,4.16,-0.6054503348479675,-0.5840444765860984,-0.3923896410491318,0.9647058823529412,2936,170,65,277,40,7.07421267853193,3.5764389409258,2.9074327278912,4.48679685297254,1,1,14,0.7416842786139062,0.7531884510254065,0.8463445321371623,0.885686604951772,0,NA,NA
164,Cropland,available on request,available on request,774,1190.4,1.1750000000000056,4.33,34.27,28.18,2.05,-1.0092923010844526,-1.2790412601236651,-0.2151287552537547,0.9481481481481482,1896,135,11,128,7,6.51497132429354,3.23330552707326,1.97452197269834,4.33897474008173,7,0,5,0.8325238813118276,0.8009756494799107,0.9019027518982268,0.934352360528503,0,NA,NA
