SampleID,LC,Latitude,Longitude,Elevation,AnnualPrec,AnnualTemp,Soil_pH,Soil_salinity,Soil_texture,Soil_carbon_service,OM_decomposition_service,Soil_stability_service,Nutrient_service,Pathogen_control,Bac_richness,Fungi_richness,Invertebrate_richness,Protist_richness,Nematode_richness,Bac_shannonDiv,Fungi_shannonDiv,Invertebrate_shannonDiv,Protist_shannonDiv,Ectomycorrhizal_richness,Arbuscularmycorrhizal_richness,Decomposer_richness,Bac_JaccDist_av,Fungi_JaccDist_av,Protist_JaccDist_av,Invertebrate_JaccDist_av,PA,PA_type,PA_rank
1199,Dryland,-23.85603,31.24022,368,555,2.2750000000000057,6,327,19.999999999999982,12.005563766240693,-0.5473007122231361,67,0.22013587845643257,0.9696969696969696,3904,330,67,445,27,7.51542060017412,4.30602173414412,2.8134470099498,5.49905592397946,8,0,23,0.8908786204276467,0.8236123602719674,0.8689574305756556,0.9166356198272492,0,Not Reported,8
1200,Dryland,-23.84789,31.22651,394,557,2.2650000000000032,5.83,217,19.77777777777777,8.503794604318992,-0.6372820462511033,48.33333333333333,-0.3549546165453701,0.9708454810495628,4459,343,90,568,45,7.75697599738483,4.41263595130188,3.52608012331373,5.82647230049996,6,2,16,0.8707582230055194,0.8180343808187507,0.8544333704582994,0.891901104359709,0,Not Reported,8
1201,Dryland,-23.83262,31.21243,374,558.6,2.2750000000000057,5.93,170.6,16.888888888888886,9.451616550125811,-0.5482095165316877,67.88888888888889,-0.35411642567552376,0.964622641509434,4772,424,103,555,53,7.88628475192115,4.75589397960987,3.32209654920468,5.77849798027627,5,6,30,0.8732384415632514,0.8119148426246132,0.8582318469088246,0.8856192151268917,0,Not Reported,8
1209,Dryland,39.76372,-5.94283,344,762.7,1.615000000000003,6.35,263,48.111111111111114,51.50760395652118,1.6666750167399014,12.555555555555554,1.4412408891477873,0.9696356275303644,4451,494,92,436,65,7.68130448497642,4.86524698460802,3.63295923019077,5.58199131739836,15,8,33,0.8696146688489454,0.8194702983175173,0.8662730347560819,0.8973420836208339,0,Not Reported,8
1210,Dryland,39.75716,-5.93981,368,768,1.605000000000001,5.9,197.3,35.777777777777786,57.053710848814795,0.8928663827890319,33.77777777777777,0.6890773456531099,0.9643605870020964,4790,477,125,434,94,7.85346512290569,4.7268599078714,4.1021254627374,5.27858504138493,15,7,28,0.8811238503557456,0.8360309577759361,0.8747511650533184,0.8896731345192709,0,Not Reported,8
1211,Dryland,39.75359,-5.93905,368,768,1.605000000000001,5.84,223,46.66666666666666,55.1289359302454,0.5708412970633375,27.111111111111107,1.051359429102054,0.9721030042918456,4591,466,89,509,55,7.7108900034866,4.47310575646763,3.96372039195427,5.82690164668107,11,4,39,0.8800777369861078,0.8333573123349641,0.8674766368390506,0.896968529223503,0,Not Reported,8
1212,Dryland,39.75214,-5.93865,368,768,1.605000000000001,5.52,93.6,37.44444444444443,32.06115996383736,0.1178848218824642,31.11111111111111,0.06434855930258239,0.971311475409836,4641,488,87,377,57,7.78535866719631,5.07045947896583,3.69702166704177,5.09973036457693,17,7,26,0.8889146682229034,0.829200550373779,0.8839352274452763,0.9015367026776212,0,Not Reported,8
1240,Dryland,32.67423,11.23969,100,140.1,2.0950000000000046,7.99,239,10.666666666666655,2.975649571587472,-0.55903287696635,31.000000000000007,-0.6168681290491046,0.9794520547945206,4135,292,51,450,27,7.54944016402443,4.21403551376843,2.66883511592017,4.37780314946839,5,5,19,0.8698109827996915,0.822857625847626,0.8566441352974665,0.91575426177306,0,Not Assigned,9
1243,Dryland,38.16517,-109.73295,1527,220.4,1.355000000000001,8.38,679,7.7777777777777715,3.956436752103434,-0.4943730270915008,38.44444444444445,-0.3614798619354313,0.9557522123893806,3742,226,40,345,13,7.3047069183095,3.31195882100626,2.51885303274384,4.60120660566377,3,2,14,0.8763961571926655,0.8295327772579337,0.865489296574911,0.936768999398062,1,II,3
1245,Dryland,36.96982,-111.6104,1356,182.7,1.4750000000000056,7.3,155.1,4.444444444444429,2.1753562085364533,-0.7829622965730753,24.33333333333333,-0.6079693585819334,0.9605734767025088,3776,279,32,393,8,7.31639597419385,3.64554994817827,2.63284735519121,5.24798564521169,5,1,25,0.8693101686854853,0.8227852628962999,0.8505922661989659,0.9188344637869106,1,V,6
1246,Dryland,36.97043,-111.6219,1377,185.3,1.4550000000000012,7.19,100.6,2.2222222222222143,1.8900714531359428,-0.7462598845505949,26.88888888888889,-0.6622830557822693,0.9602649006622516,3659,302,38,434,15,7.24330870403097,4.1017800695128,2.28204209831504,5.21781354365022,3,4,22,0.8692332438220395,0.812422453162331,0.8569102581561554,0.9258227620368368,1,V,6
1016,Dryland,-27.59989,-66.39181,960,326.8,1.9750000000000056,6.75,156.3,35.77777777777777,6.801850244957777,-0.33474115494920337,15.111111111111107,0.4259125334354337,0.9581589958158996,4659,239,43,232,29,7.75970893211228,3.41828605767832,2.83614947001969,4.94051338531259,4,0,15,0.8694465929629135,0.8214804273742112,0.8703409319997304,0.9220840695212984,0,NA,NA
1017,Dryland,-27.59703,-66.39864,960,326.8,1.9750000000000056,6.11,137.4,32.222222222222214,15.93220620129891,-0.10903062334093508,26,0.809394461606392,0.954954954954955,4279,222,29,376,14,7.47406265066821,3.66308056665705,1.54078884242153,5.13076637000553,4,0,12,0.8724279755379711,0.8172253863596008,0.8611144055705534,0.9379318366299246,0,NA,NA
1018,Dryland,-27.59494,-66.40858,956,302.6,1.9750000000000056,6.5,135,35.77777777777777,5.176322034564413,-0.41518293701176606,28.555555555555557,0.2132807250111625,0.9710144927536232,4521,207,30,207,14,7.77046025958805,3.45765753125565,2.22725855229694,4.46937280048446,3,0,16,0.8720269060958211,0.8339023693168177,0.8757875759248986,0.9367933507446914,0,NA,NA
1019,Dryland,-29.28744,-65.24302,241,528.2,2.1350000000000025,7.23,232,41.666666666666664,10.158336871439944,-0.22101177909339031,77.55555555555556,0.18713382229878273,0.9766355140186916,4977,214,54,367,41,7.98018023979002,3.38971283433332,2.83339837080332,5.44389980406872,4,1,18,0.8660496377549745,0.8268705787459365,0.8543670013492846,0.8986402411741701,0,NA,NA
1020,Dryland,-29.28739,-65.25106,245,528.6,2.1350000000000025,6.37,148,43.222222222222214,20.050206101039855,-0.14146788495535134,93.44444444444444,0.5375337588439069,0.9791666666666666,4920,240,70,369,38,7.9811200195879,3.42837873419634,3.15797256075658,5.46188875690898,5,0,21,0.8731038636133371,0.8377473745659453,0.8584576487139005,0.8923802811519309,0,NA,NA
1021,Dryland,-29.28573,-65.26186,248,528.6,2.1350000000000025,5.69,84.5,37.11111111111112,17.180926938991554,-0.11375081153357858,94.11111111111111,0.24225609236757883,0.9701986754966888,4150,302,66,430,40,7.63911783238622,4.22483540548392,3.15120674379764,5.50443447714539,7,0,29,0.889411131850006,0.822214462436099,0.8681168095747641,0.9035154968483322,0,NA,NA
1022,Dryland,-45.45081,-69.82544,475,211.6,1.0650000000000035,6.91,140.6,11.111111111111114,6.211326610299087,-0.08468418884063168,18.666666666666664,-0.11653862595676324,0.9721254355400696,4339,287,53,318,33,7.66898742709588,4.05066914021672,2.56745873093831,5.18364359565482,4,3,21,0.8724458430309925,0.8202651387509414,0.8642628251818995,0.9163577744774248,0,NA,NA
1023,Dryland,-45.37281,-69.89747,483,208.5,1.0750000000000055,7.35,337,30.66666666666669,6.5720220021783184,-0.27536990355991475,32.44444444444444,-0.06744906798106289,0.9659090909090908,4205,264,73,381,42,7.67964883234109,3.96159071366106,2.83499710801261,5.05546075391032,5,2,19,0.8710630855831476,0.8320255960739675,0.8663089619007717,0.9003811457974246,0,NA,NA
1024,Dryland,-45.07703,-70.01175,549,235.8,1.0350000000000024,8.03,128.4,15.222222222222229,5.95503750698375,-0.3955043039126668,26.222222222222225,-0.02335913013212751,0.968,3882,250,35,284,28,7.4399199983825,3.58318900693917,2.92555280318866,4.27173095357117,3,2,18,0.8670781886562728,0.8060549129927221,0.8687661116710644,0.9290462719625212,0,NA,NA
1025,Dryland,-45.125,-69.99694,547,231.9,1.0350000000000024,7.87,107.2,28.555555555555543,5.599466367464014,-0.15452979973699932,36.22222222222222,-0.3628335254021538,0.971291866028708,4422,209,34,313,25,7.78945904467497,3.97802787425523,2.16865671403833,4.76147023028536,1,3,11,0.8706818333452195,0.8388947789416299,0.8757647903552777,0.927497595438628,0,NA,NA
1026,Dryland,-45.38136,-70.22183,529,226.1,1.0150000000000037,6.93,72.4,14.555555555555555,5.858389618506457,-0.47057915004789747,44.666666666666664,-0.17664112521742928,0.9681274900398408,4257,251,28,285,17,7.61370555082487,4.1150186769419,2.57115557487733,4.3084433422837,2,0,12,0.864101794644185,0.8365295231132318,0.8763801830348036,0.9514671525089474,0,NA,NA
