LC,PA_rank_rev.trend,lower.HPD,upper.HPD,fns,scale,Group_function,scale_icon,significance
Cropland,-5.730948053042084e-4,-0.00157178480196762,4.1206703983220905e-4,Fungi_JaccDist_av,continental,Dissimilarity,<img src='figures/icon_location-black.png' width='70'>,ns
Grassland,6.896717018989307e-4,-0.00213506262619489,0.00343718047052732,Protist_JaccDist_av,regional,Dissimilarity,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Woodland,7.072270232839628e-4,-2.854190265964007e-4,0.00169327539151709,Pathogen_control,regional,Function,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Woodland,-8.342229101501175e-4,-0.00165439299681224,-4.565772675846347e-5,Fungi_JaccDist_av,continental,Dissimilarity,<img src='figures/icon_location-black.png' width='70'>,Woodland
Woodland,-9.362795145122504e-4,-0.00279978175090889,8.164986991801015e-4,Invertebrate_JaccDist_av,regional,Dissimilarity,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Grassland,9.719729106052456e-4,-0.00141313454385283,0.0033017751845108,Fungi_JaccDist_av,regional,Dissimilarity,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Dryland,9.795745735345918e-4,-0.19852969713815585,0.20910705065796265,Ectomycorrhizal_richness,global,Richness,<img src='figures/icon_earth-globe-with-continents-maps.png' width='70'>,ns
Grassland,-0.00108853393174435,-0.06742997621754654,0.06723786754221805,Soil_stability_service,continental,Function,<img src='figures/icon_location-black.png' width='70'>,ns
Cropland,-0.0011080353280306,-0.00289610513858917,6.702640822453532e-4,Pathogen_control,regional,Function,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Cropland,0.00161440338633411,-0.00232837130117502,0.00562388096876986,Bac_JaccDist_av,regional,Dissimilarity,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Cropland,-0.00170995381096261,-0.06763268595440763,0.05890716283370523,OM_decomposition_service,continental,Function,<img src='figures/icon_location-black.png' width='70'>,ns
Woodland,-0.00183795779722117,-0.00405435384459451,4.056024618819265e-4,Bac_JaccDist_av,regional,Dissimilarity,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Cropland,0.00228119642834911,-0.00291215196052974,0.00772622051111682,Pathogen_control,continental,Function,<img src='figures/icon_location-black.png' width='70'>,ns
Dryland,-0.00261747438298698,-0.01834182383618099,0.01295969050738676,Bac_shannonDiv,global,Shannon,<img src='figures/icon_earth-globe-with-continents-maps.png' width='70'>,ns
Woodland,-0.00262329438106689,-0.02821072076915243,0.02295807288214746,Bac_shannonDiv,regional,Shannon,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Woodland,-0.00293198715040432,-0.0043577733040081,-0.00141182332264122,Bac_JaccDist_av,continental,Dissimilarity,<img src='figures/icon_location-black.png' width='70'>,Woodland
Cropland,0.00303675343174347,-1.4292449451147604e-4,0.00632494965468311,Invertebrate_JaccDist_av,regional,Dissimilarity,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Cropland,-0.00340175253213459,-0.00608618621292578,-6.016812725420095e-4,Fungi_JaccDist_av,regional,Dissimilarity,<img src='figures/icon_flag-Portugal.png' width='70'>,Cropland
Cropland,-0.00349960323706,-0.03723494997052512,0.03034836822348552,Bac_shannonDiv,continental,Shannon,<img src='figures/icon_location-black.png' width='70'>,ns
Grassland,0.00466656316672242,-0.09280633541948193,0.10595340651684636,Protist_shannonDiv,regional,Shannon,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Cropland,0.00556105032353571,-0.4081473742162984,0.4162949212557976,Ectomycorrhizal_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Cropland,0.00563042622666287,-0.09063700683127962,0.09950229110822306,Nutrient_service,regional,Function,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Cropland,0.0058186843392427,-0.04223287939649989,0.05605931082049764,Nutrient_service,continental,Function,<img src='figures/icon_location-black.png' width='70'>,ns
Cropland,-0.0060008523853412,-0.0659776022304186,0.05569201292269099,Protist_shannonDiv,continental,Shannon,<img src='figures/icon_location-black.png' width='70'>,ns
Grassland,0.00632347180123815,-0.0672461709401091,0.0808340816886357,Invertebrate_shannonDiv,regional,Shannon,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Woodland,0.00755669326920838,-0.02030318601157432,0.03593175223477374,Fungi_shannonDiv,regional,Shannon,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Woodland,0.00899385797228014,-0.05090903097992694,0.06917976479312316,Soil_stability_service,continental,Function,<img src='figures/icon_location-black.png' width='70'>,ns
Grassland,0.00940112774480739,-0.03562861135912776,0.05605612788246361,Nutrient_service,continental,Function,<img src='figures/icon_location-black.png' width='70'>,ns
Cropland,0.01187699423761046,-0.03714012447608184,0.06241023945818824,Fungi_shannonDiv,regional,Shannon,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
