"lc","lower","effect","upper","fns","run","Label","Label_short","Group_function","Organism"
"Dryland",-0.85342730313607,-0.406234391384257,0.0435811643573235,"Nutrient_service",8,"Nutrient cycling","Nutrient cycling","Function","Function"
"Dryland",-1.01061709888759,-0.559739684599948,-0.105321256469049,"Pathogen_control",8,"Pathogen control","Pathogen control","Function","Function"
"Dryland",-1.02493978271803,-0.573664364602742,-0.118767481042357,"Bac_richness",8,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Dryland",-0.732639348133056,-0.287391833338752,0.159725128408696,"Fungi_richness",8,"Fungal Richness","Fungal R","Richness","Fungi"
"Dryland",-0.483326220481662,-0.0395619326607861,0.40445710739509,"Invertebrate_richness",8,"Invertebrate Richness","Invertebrate R","Richness","Invertebrates"
"Dryland",-0.832352770404448,-0.385554416452183,0.0637346501955456,"Protist_richness",8,"Protist Richness","Protist R","Richness","Protists"
"Dryland",-0.882299341922962,-0.434520584622049,0.0160494186831013,"Nematode_richness",8,"Nematode Richness","Nematode R","Richness","Nematodes"
"Dryland",-1.00232153275684,-0.551669874980334,-0.0975216685946046,"Bac_shannonDiv",8,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Dryland",-0.398314786660227,0.0457394650875424,0.489493648815698,"Fungi_shannonDiv",8,"Fungal Shannon","Fungal S","Shannon","Fungi"
"Dryland",-0.826648309519388,-0.379947038751202,0.0692011607684564,"Invertebrate_shannonDiv",8,"Invertebrate Shannon","Invertebrate S","Shannon","Invertebrates"
"Dryland",-0.379437570414281,0.0647384555667508,0.508489314642885,"Protist_shannonDiv",8,"Protist Shannon","Protist S","Shannon","Protists"
"Dryland",-1.24276466475469,-0.784196270669524,-0.320838666660897,"Ectomycorrhizal_richness",8,"EM fungi Richness","EM fungi R","Richness","Fungi"
"Dryland",-0.629423129029148,-0.185218027253298,0.26020167225262,"Arbuscularmycorrhizal_richness",8,"AM fungi Richness","AM fungi R","Richness","Fungi"
"Dryland",-0.681219516732106,-0.236561351314983,0.209639778327195,"Decomposer_richness",8,"Decomposer Richness","Decomposer R","Richness","Decomposers"
"Dryland",0.0268818205549901,0.47871136036128,0.927482653770319,"Bac_JaccDist_av",8,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Dryland",-0.197461788383118,0.248948412597803,0.693737053185619,"Fungi_JaccDist_av",8,"Fungal Dissimilarity","Fungal D","Dissimilarity","Fungi"
"Dryland",0.112992514104341,0.567678146931573,1.01878115226755,"Protist_JaccDist_av",8,"Protist Dissimilarity","Protist D","Dissimilarity","Protists"
"Dryland",-0.227131098284377,0.218783872840688,0.663264124497316,"Invertebrate_JaccDist_av",8,"Invertebrate Dissimilarity","Invertebrate D","Dissimilarity","Invertebrates"
"Dryland",-0.450009501883067,-0.0061841502188299,0.437681819001538,"Soil_carbon_service",9,"Soil carbon","Soil carbon","Function","Function"
"Dryland",-0.48088877580721,-0.0371247136291438,0.406881025448723,"OM_decomposition_service",9,"Decomposition (OM)","Decomposition (OM)","Function","Function"
"Dryland",-0.090067175878647,0.358569904370198,0.80488868779739,"Soil_stability_service",9,"Soil stability","Soil stability","Function","Function"
"Dryland",-0.778648609057386,-0.332751505325823,0.115302720819757,"Nutrient_service",9,"Nutrient cycling","Nutrient cycling","Function","Function"
"Dryland",-0.927444094348272,-0.478673696304563,-0.0268452794153813,"Pathogen_control",9,"Pathogen control","Pathogen control","Function","Function"
"Dryland",-1.11179407602492,-0.657885185056899,-0.199875409232622,"Bac_richness",9,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Dryland",-0.850238165482586,-0.403104482440769,0.0466283069883782,"Fungi_richness",9,"Fungal Richness","Fungal R","Richness","Fungi"
"Dryland",-0.556961547585866,-0.113124982204262,0.331452145681044,"Invertebrate_richness",9,"Invertebrate Richness","Invertebrate R","Richness","Invertebrates"
"Dryland",-0.973121299601305,-0.523236643102218,-0.0700275964463535,"Protist_richness",9,"Protist Richness","Protist R","Richness","Protists"
"Dryland",-0.982277059804071,-0.532156331543317,-0.0786523882534398,"Nematode_richness",9,"Nematode Richness","Nematode R","Richness","Nematodes"
"Dryland",-1.06837465145827,-0.615829951382965,-0.159419996131503,"Bac_shannonDiv",9,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Dryland",-0.480454820696699,-0.036691631653033,0.407311778898294,"Fungi_shannonDiv",9,"Fungal Shannon","Fungal S","Shannon","Fungi"
"Dryland",-0.871156424355606,-0.423609767232174,0.0266591036144373,"Invertebrate_shannonDiv",9,"Invertebrate Shannon","Invertebrate S","Shannon","Invertebrates"
"Dryland",-0.45464329476469,-0.0108309667367619,0.433052566579116,"Protist_shannonDiv",9,"Protist Shannon","Protist S","Shannon","Protists"
"Dryland",-1.2787222650028,-0.81873168841343,-0.35377596928453,"Ectomycorrhizal_richness",9,"EM fungi Richness","EM fungi R","Richness","Fungi"
"Dryland",-0.691076509477083,-0.246316306085394,0.200049365647973,"Arbuscularmycorrhizal_richness",9,"AM fungi Richness","AM fungi R","Richness","Fungi"
"Dryland",-0.748024847229469,-0.302571899289691,0.144843057980999,"Decomposer_richness",9,"Decomposer Richness","Decomposer R","Richness","Decomposers"
"Dryland",0.0105541234075067,0.461888910728622,0.910268173079382,"Bac_JaccDist_av",9,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Dryland",-0.208662568514576,0.237555095681183,0.682223408881132,"Fungi_JaccDist_av",9,"Fungal Dissimilarity","Fungal D","Dissimilarity","Fungi"
