Order_ID,Latitude_c,Longitude_c,Eco_c,Soil_pH,Soil_salinity,Clay_silt_c,Soil_carbon_service,OM_decomposition_service,Water_regulation_service,Soil_stability_service,Nutrient_service,Pathogen_control,Richness_bacteria,Fungi_18s_richness,Invertebrate_18s_richness,Protist_18s_richness,Ectomycorrhizal_18s_richness,Arbuscular_mycorrhizal_18s_richness,Decomposers_18s_richness,Diss_Bacteria_std,Diss_Fungi_std,Diss_Protists_std,Diss_invert_std,Elevation,AnnualTemp,AnnualPrec,id.x,PA_type,PA,LC
522,28.767865,-17.905426,Forest,5.97,128.5,23.93333333,0.169025984,0.280317756,0.527303077,0.364818151,0.079621734,0.796037296,3686,236,24,281,3,1,46,0.2987,0.4901,0.3781,0.5436,1898,1.4150000000000034,799.8000000000001,80,Not Reported,0,Woodland
525,28.697643,-17.852096,Forest,6.35,134,29.60666667,0.200548393,0.364461722,0.593177565,0.753753754,0.31582939,0.996503497,4255,194,46,321,7,3,35,0.2096,0.6292,0.368,0.4787,1302,1.555000000000001,654.7,81,II,1,Woodland
532,28.698164,-17.862893,Forest,7.12,118,44.32222222,0.045260671,0.270125627,0.401945096,0.61664330999999994,0.043963629,0.98951049,3602,213,27,175,15,3,44,0.2023,0.5292,0.4706,0.2981,1311,1.555000000000001,665,82,II,1,Woodland
547,-20.448,-68.094,Shrubland,8.1,439,17.23,0.021599656,0.055526783,0.416853271,0.077077077,0.007225548,0.627039627,3824,144,24,351,4,4,26,0.2586,0.3998,0.2148,0.6561,3710,0.7450000000000045,218.9,83,NA,0,Shrubland
567,-20.151,-67.811,Shrubland,8.31,540,29.32,0.060006111,0.142420282,0.331979874,0.317317317,0.024397773,0.962703963,3534,154,34,290,5,8,26,0.3271,0.4339,0.4058,0.5132,3677,0.7250000000000056,229.10000000000002,84,NA,0,Shrubland
572,-20.15,-67.809,Shrubland,7.38,91.975,21.68555556,0.011134206,0.027293518,0.410947197,0.27957958,0.007335333,0.607226107,2786,114,20,125,5,2,22,0.4342,0.7735,0.6747,0.6423,3677,0.7250000000000056,235.10000000000002,85,NA,0,Shrubland
575,46.823,11.045,Grassland,7.76,183.2,20.76777778,0.033430163,0.042029001,0.197259211,0.200867534,0.006121516,0.997668998,3082,117,21,276,1,2,17,0.7328,1,0.545,0.738,2609,-0.3349999999999966,1529.4,86,IV,1,Grassland
582,46.831,11.04,Grassland,6.76,145.4,21.91111111,0.132352182,0.092551956,0.699785315,0.507173841,0.047090042,0.977855478,3896,178,19,342,4,1,36,0.4562,0.5315,0.4379,0.4403,2508,-0.2749999999999943,1490.8000000000002,87,IV,1,Grassland
587,46.834,11.039,Grassland,7.19,100.8,27.26888889,0.058911257,0.124345109,0.542857812,0.44044044,0.01378727,0.966200466,3900,220,20,404,4,4,44,0.398,0.5979,0.3201,0.5678,2401,-0.19499999999999887,1449,88,IV,1,Grassland
594,46.841,11.032,Grassland,5.87,101.2,14.73333333,0.152645281,0.354596878,0.683621322,0.80647314,0.009435669,0.996503497,2701,162,14,548,3,3,42,0.6201,0.8412,0.4289,0.7711,2429,-0.22499999999999432,1480.8000000000002,89,IV,1,Grassland
