ID,nonPA,mahal.min,LC,times.with.error,times,n
1043,1138,11.007839491021487,Woodland,24,24,15
1153,2102,16.614674058178224,Grassland,25,25,15
1152,242,10.639890231599002,Grassland,25,25,15
2167,1064,17.262330257253762,Grassland,25,25,15
1082,282,9.259072330817636,Grassland,25,25,15
28,1003,15.45279301908764,Grassland,25,25,15
1231,1005,1.0827756268019282,Shrubland,25,25,15
1151,1001,4.667946668039074,Shrubland,25,25,15
250,1036,15.207621886165123,Shrubland,25,25,15
1245,279,10.540533533745833,Shrubland,25,25,15
1053,2165,12.77799330046565,Shrubland,25,25,15
1046,224,9.648692259461024,Woodland,25,25,15
2212,2201,14.62398778118828,Woodland,25,25,15
1047,2202,17.0178183289694,Woodland,25,25,15
2185,2115,17.335303050798363,Woodland,25,25,15
2121,2179,13.95039666558886,Woodland,25,25,15
26,2145,11.197928977016069,Grassland,26,26,15
1081,282,8.494765633252669,Grassland,26,26,15
1243,1125,13.582437857154542,Grassland,26,26,15
28,2144,11.879814721351291,Grassland,26,26,15
25,244,8.357445144679641,Grassland,26,26,15
1246,2162,14.76485094897515,Shrubland,26,26,15
1093,1068,7.791058085644595,Shrubland,26,26,15
1053,1001,15.389531655146108,Shrubland,26,26,15
1208,267,17.349919490240463,Shrubland,26,26,15
1231,280,8.580253549288708,Shrubland,26,26,15
251,2170,10.015157056142515,Woodland,26,26,15
1096,24,11.532344402475871,Woodland,26,26,15
2189,2133,8.89772275410761,Woodland,26,26,15
2124,2157,6.4670106602873005,Woodland,26,26,15
223,2155,13.737897380294333,Woodland,26,26,15
1082,1027,16.535966593826913,Grassland,27,27,15
1085,241,17.335208355296036,Grassland,27,27,15
1084,282,13.709257742570555,Grassland,27,27,15
1081,2145,17.286680495153522,Grassland,27,27,15
210,242,12.360430404415645,Grassland,27,27,15
1223,1018,6.558901661474727,Shrubland,27,27,15
1089,1038,11.846400805587479,Shrubland,27,27,15
1151,2214,11.104500432108285,Shrubland,27,27,15
1054,1023,14.155719679668204,Shrubland,27,27,15
1052,1001,16.56489497437148,Shrubland,27,27,15
1048,1116,12.809917053255948,Woodland,27,27,15
240,2160,4.869568829274636,Woodland,27,27,15
227,2200,8.986228760190656,Woodland,27,27,15
1043,1051,7.21444482153729,Woodland,27,27,15
258,2140,13.470065853444659,Woodland,27,27,15
28,1014,17.411390904204616,Grassland,28,28,15
1225,1086,8.971760064987208,Grassland,28,28,15
1149,1009,12.172257946350452,Grassland,28,28,15
1150,1003,7.025047708731009,Grassland,28,28,15
1226,282,16.53234005071299,Grassland,28,28,15
1094,1060,16.749111256742623,Shrubland,28,28,15
1052,2164,13.762916363645868,Shrubland,28,28,15
1054,279,3.3964993114020796,Shrubland,28,28,15
1092,2165,10.316210536326825,Shrubland,28,28,15
1208,1022,16.747050045946718,Shrubland,28,28,15
2177,2183,16.609983663373548,Woodland,28,28,15
1047,2133,13.726618260406935,Woodland,28,28,15
227,2131,11.066470869700431,Woodland,28,28,15
223,2160,11.051617819799397,Woodland,28,28,15
2185,2210,15.714068841828723,Woodland,28,28,15
1085,1040,15.979443145442133,Grassland,29,29,15
